사용일자,노선명,역명,승차총승객수,하차총승객수
20220106,분당선,강남구청,10272,11497
20220106,중앙선,지평,73,80
20220106,중앙선,용문,1438,1465
20220106,중앙선,원덕,282,287
20220106,중앙선,양평,2314,2356
20220106,중앙선,오빈,272,273
20220106,중앙선,아신,468,413
20220106,중앙선,국수,593,574
20220106,중앙선,신원,163,165
20220106,중앙선,양수,1567,1608
20220106,중앙선,운길산,626,564
20220106,중앙선,팔당,797,797
20220106,중앙선,도심,2321,1836
20220106,중앙선,덕소,5353,5266
20220106,중앙선,양정,709,606
20220106,중앙선,도농,10167,9357
20220106,중앙선,구리,13118,13395
20220106,중앙선,양원,1959,1905
20220106,중앙선,망우,7436,7283
20220106,중앙선,상봉(시외버스터미널),5512,5571
20220106,중앙선,중랑,5420,5181
20220106,중앙선,회기,22548,21977
20220106,장항선,신창(순천향대),803,829
20220106,장항선,온양온천,3021,3051
20220106,장항선,배방,857,824
20220106,장항선,탕정,367,325
20220106,장항선,아산,2400,2087
20220106,장항선,쌍용(나사렛대),1646,1608
20220106,장항선,봉명,1087,1082
20220106,일산선,대화,12115,9605
20220106,일산선,주엽,8528,8653
20220106,일산선,정발산,7026,6960
20220106,일산선,마두,7146,7415
20220106,일산선,백석,9584,9726
20220106,일산선,대곡,1924,1475
20220106,경원선,도봉,5740,5661
20220106,분당선,선정릉,8162,8758
20220106,안산선,중앙,17036,17452
20220106,안산선,한대앞,8293,8448
20220106,안산선,상록수,14938,15331
20220106,안산선,반월,4035,3983
20220106,안산선,대야미,4756,4350
20220106,안산선,산본,15336,16372
20220106,수인선,인천,1007,1642
20220106,수인선,신포,1619,1652
20220106,수인선,숭의,3917,3718
20220106,수인선,인하대,5306,5056
20220106,수인선,송도,2347,2209
20220106,수인선,연수,4206,4031
20220106,수인선,원인재,4104,4253
20220106,수인선,남동인더스파크,2309,2574
20220106,일산선,화정,16317,16651
20220106,일산선,원당,10690,10212
20220106,일산선,삼송,18768,18413
20220106,일산선,원흥,10399,9947
20220106,우이신설선,신설동,2091,1971
20220106,우이신설선,보문,1420,1428
20220106,우이신설선,성신여대입구(돈암),3111,3413
20220106,우이신설선,정릉,4483,4147
20220106,우이신설선,북한산보국문,5683,5511
20220106,우이신설선,솔샘,5708,5384
20220106,우이신설선,삼양사거리,2362,2375
20220106,우이신설선,삼양,1926,2106
20220106,우이신설선,화계,3276,3054
20220106,우이신설선,가오리,3905,3964
20220106,우이신설선,4.19민주묘지,2623,2531
20220106,우이신설선,솔밭공원,2451,2301
20220106,우이신설선,북한산우이,2455,2219
20220106,안산선,수리산,4018,3255
20220106,안산선,오이도,7704,7498
20220106,안산선,정왕,7090,7373
20220106,안산선,신길온천,1586,1499
20220106,안산선,안산,11067,9968
20220106,안산선,초지,4321,4410
20220106,안산선,고잔,8398,8081
20220106,수인선,호구포,3925,3937
20220106,수인선,인천논현,5314,5589
20220106,수인선,소래포구,4661,4393
20220106,수인선,월곶,2571,2324
20220106,수인선,달월,91,55
20220106,수인선,사리,4302,3792
20220106,수인선,야목,293,234
20220106,수인선,어천,651,601
20220106,수인선,오목천,2824,2572
20220106,수인선,고색,4398,4177
20220106,분당선,매교,2661,2720
20220106,분당선,수원시청,12361,12997
20220106,분당선,매탄권선,4855,4759
20220106,분당선,망포,14292,13643
20220106,분당선,영통,8236,8029
20220106,분당선,청명,4170,4114
20220106,분당선,상갈,5303,5057
20220106,분당선,기흥,9376,8946
